customer_id,age,price,birth_date,email,phone,start_date,end_date
101.0,25,1500,1999-05-12,john@gmail.com,9876543210,2025-01-01,2025-01-31
102.0,35,2500,1988-09-15,alice@gmail.com,9876543211,2025-02-01,2025-01-20
,42,-300,2050-01-01,bobgmail.com,12345,2025-03-01,2025-03-15
104.0,151,4500,1975-06-20,,9876543213,2025-04-01,2025-04-20
105.0,-5,5000,2002-10-18,david@yahoo.com,9876543214,2025-05-01,2025-05-25
106.0,28,3200,1997-02-11,eva@gmail.com,9876543215,2025-06-01,2025-05-20
107.0,40,2800,1990-08-22,samhotmail.com,abcd123456,2025-07-01,2025-07-30
108.0,60,1500,1984-01-30,rose@gmail.com,9876543217,2025-08-01,2025-08-28
109.0,32,-200,2055-05-10,kevin@yahoo.com,9876543218,2025-09-01,2025-08-25
110.0,45,4000,1995-11-25,tom@gmail.com,9876543219,2025-10-01,2025-10-30
